merge_file_id,source_post,link,title,price,area,describe,address,province_city,district,ward,street,house_number
p1-l19_20250320-000509,batdongsan,https://batdongsan.com.vn/cho-thue-nha-tro-phong-tro-duong-nguyen-huu-canh-phuong-22/chinh-chu-cho-180-28-29-5-4-trieu-60m2-binh-thanh-hcm-pr41981384,"Chính chủ cho thuê phòng 180/28/29 Nguyễn Hữu Cảnh, 5,4 triệu, 60m2, Bình Thạnh, HCM",5.4,60.0,"
                Nhà trọ cho thuê tại 180/28/29 Nguyễn Hữu Cảnh, Phường 22, Bình Thạnh, Hồ Chí Minh, với diện tích rộng 60m².Liên hệ ngay để được tư vấn miễn phí và xem nhà: Anna - 0989 785 ***.- Giá thuê chỉ 5,4 triệu VND mỗi tháng, một mức giá hợp lý cho không gian sống thoải mái.- Nhà có 1PN và 1WC, rất phù hợp cho cá nhân hoặc cặp đôi.- Nội thất đầy đủ với điều hòa, giường, tủ lạnh, mang lại sự tiện nghi cho cuộc sống hàng ngày.- Nằm trong khu vực yên tĩnh, thuận tiện cho sinh hoạt và nghỉ ngơi.Địa điểm tiện ích xung quanh:- Gần bệnh viện thẩm mỹ Thanh Vân, bệnh viện đa khoa quốc tế Vinmec Central Park, bệnh viện Bình Thạnh cơ sở 2.- Siêu thị mẹ bầu và em bé Con Cưng - concung.com, siêu thị điện máy Tự Do rất gần.- Hệ thống giáo dục với mầm non Hooray, trường phổ thông song ngữ quốc tế Wellspring Saigon và nhiều lớp học nghệ thuật khác.- Công viên cảng Ba Son, công viên Vinhomes Tân Cảng và công viên Vinhomes Central Park là những nơi lý tưởng để thư giãn.Liên hệ ngay để được tư vấn miễn phí và xem nhà: Anna - 0989 785 ***.
            ","180/28/29, Đường Nguyễn Hữu Cảnh, Phường 22, Bình Thạnh, Hồ Chí Minh",Hồ Chí Minh,Bình Thạnh,22,Đường Nguyễn Hữu Cảnh,180/28/29
p1-l1_20250320-000536,batdongsan,https://batdongsan.com.vn/cho-thue-nha-tro-phong-tro-duong-pham-phu-thu-phuong-11-10/chi-4tr-thang-can-ho-1-ngu-cua-so-thoang-20m2-full-noi-that-moi-3ng2xe-ngay-nga-tu-bay-hien-pr42435772,"Chỉ 4tr/tháng, căn hộ 1 phòng ngủ cửa sổ thoáng 20m2 full nội thất mới 3ng2xe ngay ngã tư Bảy Hiền",4.0,20.0,"
                Thông báo dự án mới.Phạm Phú Thứ, Phường 11, Quận Tân Bình.Chỉ với 4tr có ngay 1PN mới.1PN full NT mới cửa sổ.Free xe, không chung chủ.Khu vực giáp quận 10 thuận tiện di chuyển.Contact em hỗ trợ 24/7: 0964 721 *** (zalo).
            ","Đường Phạm Phú Thứ, Phường 11, Tân Bình, Hồ Chí Minh",Hồ Chí Minh,Tân Bình,11,Đường Phạm Phú Thứ,
p1-l2_20250320-000536,batdongsan,https://batdongsan.com.vn/cho-thue-nha-tro-phong-tro-duong-phan-huy-ich-phuong-12-8/cho-cua-so-chua-qua-su-dung-ngay-emart-ich-pr42451804,Cho thuê phòng cửa sổ chưa qua sử dụng đường ngay Emart Phan Huy Ích,3.8,35.0,"
                Cho thuê phòng chưa dụng ngay Emart.- Công khai: 3tr8/tháng.Nội thất chưa qua sử dụng gồm: Máy lạnh, tủ quần áo, giường nệm, kệ bếp...Địa chỉ: 331 Phan Huy Ích, Phường 12, Gò Vấp.- Tiện di chuyển: Trường Chinh, Emart Phan Huy Ích, Công viên Phần Mềm Quang Trung, Phạm Văn Bạch, Huỳnh Văn Nghệ, Nguyễn Tư Giản, Nguyễn Sỹ Sách, Cống Lỡ, Trần Thị Trọng, Lê Văn Thọ, Phạm Văn Chiêu, Lê Đức Thọ, Phan Huy Ích, Nguyễn Văn Khối,- Ngay Emart Phan Huy Ích.- Giờ giấc tự do.- Ra vào vân tay.- Không chung chủ.Liên hệ sdt/zalo: 0353 333 ***.
            ","331, Đường Phan Huy Ích, Phường 12, Gò Vấp, Hồ Chí Minh",Hồ Chí Minh,Gò Vấp,12,Đường Phan Huy Ích,331
p1-l3_20250320-000536,batdongsan,https://batdongsan.com.vn/cho-thue-nha-tro-phong-tro-duong-to-ky-phuong-tan-chanh-hiep-1/cho-chua-qua-su-dung-cua-so-troi-sau-cong-vien-phan-mem-quan-12-pr42473796,Cho thuê phòng chưa qua sử dụng cửa sổ trời sau công viên phần mềm đường Tô Ký - Quận 12,3.5,35.0,"
                Phòng cửa sổ trời có sẳn máy lạnh.- Diện tích 35m2- Công khai: 3tr5/tháng.Nội thất có sẳn máy lạnh, kệ bếp.Vị trí sau Công Viện Phần Mềm Quang Trung.+ Đi bộ qua Cao Đẳng FPT, Cao Đẳng Viễn Đông.- Tiện di chuyển qua Công Viên Phần Mềm, Quang Trung, Đại học Bách Khoa TP. HCM, Đại học Khoa học Tự nhiên TP. HCM, Đại học FPT, Cao đẳng FPT Polytechnic, Đại học Công nghệ Thông tin, Cao đẳng Viễn Đông, Đại Học Giao thông Vận Tải, Đại Học Lao Động Xã Hội, Đường Quang Trung, Đường Phan Văn Hớn, Đường Lê Thị Riêng, Đường Nguyễn Văn Quá, Đường Tô Ký, Đường Cầu Vượt Ngã 3 An Sương, Nguyễn Ảnh Thủ,...Giờ giấc tự do.Ra vào vân tay.Không chung chủ.Đường ô tô.Liên hệ SDT/zalo: 0353 333 ***.
            ","Đường Tô Ký, Phường Tân Chánh Hiệp, Quận 12, Hồ Chí Minh",Hồ Chí Minh,12,Tân Chánh Hiệp,Đường Tô Ký,
p1-l4_20250320-000536,batdongsan,https://batdongsan.com.vn/cho-thue-nha-tro-phong-tro-duong-cach-mang-thang-tam-phuong-11-1/cmt8-q3-cho-nu-1-nguoi-pr42245752,"CMT8, Q3 - trọ cho nữ - 1 người",4.2,25.0,"
                Hi mọi người ơi, nhà mình (chính chủ) còn 1 phòng cuối trên lầu 4 siêu thoáng mát đang tìm bạn đến ở đây.Phòng rộng rãi, được giữ gìn tốt, có bếp nhỏ để nấu ăn và nhà vệ sinh riêng trong phòng.Ngoài cửa còn có ban công nhỏ để phơi đồ, hoặc bạn có thể lên trên sân thượng ngay lầu trên để phơi cho nhanh khô hen.Điện: 4k/kg.Tiền phòng đã đăng đã bao gồm tất cả mọi chi phí, bao gồm WIFI, nước, rác, gửi xe,... Trừ tiền điện ra nghen.Tiền điện là mng xài bao nhiêu thì tính bấy nhiêu nhé.Nhà mình hẻm ô tô, có khóa vân tay nằm ngay khu vực trung tâm TP, thuận tiện di chuyển đi Q1, Q. Phú Nhuận, Q. 10, Q. Tân Bình,...Gần nhà có cửa hàng tiện lợi, siêu thị, nhà sách cùng các quán ăn ngon.Một vài câu trả lời giúp giải đáp thắc mắc của các bạn:1. Nhà mình chung chủ, nghĩa là bạn thuê phòng trọ và mình cũng đang lưu trú tại đây.2. Phòng nhà mình không nhận nuôi chó, mèo, các bé có lông và không được đóng đinh lên tường để dựng giá đỡ đựng đồ để bảo quản tình trạng phòng.3. Nếu thuê cần cọc trước 1 tháng tiền thuê.4. Giờ sinh hoạt: 5: 00 - 23: 00.5. Trọ chỉ cho nữ thuê, các bạn nữ vui lòng liên hệ trước nếu các bạn qua coi phòng nhé. Mình không nhận tin nhắn của các anh, các chú,... Nhắn là nhờ coi giúp em gái, bạn gái,... Nhé ạ. Bạn nào thuê thì bạn đó qua coi mọi người nhé.6. Mình chỉ nhận ký hợp đồng 1 năm ạ.7. Phòng này do nằm trên tầng 4, rất mát nên mình chưa lắp máy lạnh. Nếu bạn có nhu cầu lắp thì mình xin phép + 200K vào tiền phòng để lắp máy lạnh mới hiệu Casper.
            ","Đường Cách Mạng Tháng Tám, Phường 11, Quận 3, Hồ Chí Minh",Hồ Chí Minh,3,11,Đường Cách Mạng Tháng Tám,
p1-l5_20250320-000536,batdongsan,https://batdongsan.com.vn/cho-thue-nha-tro-phong-tro-pho-nguyen-thien-thuat-phuong-3-13/cho-cua-so-thoang-tran-ngap-anh-sang-100-nhu-anh-ngay-cho-ban-co-q3-pr42421886,"Cho thuê phòng cửa sổ thoáng, tràn ngập ánh sáng, 100% như ảnh, ngay chợ Bàn Cờ, Q3",5.2,25.0,"
                Căn phòng tràn ngập ánh sáng ngay trung tâm Q3.Vị trí: Nguyễn Thiện Thuật quận 3 gần đại học Sư Phạm, ĐH Sài Gòn, UEH.- Sát chợ Bàn Cờ, ngã sáu Cộng Hoà di chuyển dễ dàng các quận 1, quận 10, Phú Nhuận.Diện tích 25m² giá 5.2 triệu/tháng- Full nội thất như ảnh mới toanh.- Ra vào vân tay an ninh camera 24/24.- Cửa sổ thoáng.- Cọc 1 tháng.Liên hệ em ngay để được hỗ trợ xem phòng và tư vấn nhiệt tình.
            ","Đường  Nguyễn Thiện Thuật, Phường 3, Quận 3, Hồ Chí Minh",Hồ Chí Minh,3,3,Đường  Nguyễn Thiện Thuật,
p1-l6_20250320-000536,batdongsan,https://batdongsan.com.vn/cho-thue-nha-tro-phong-tro-duong-au-duong-lan-phuong-3-16/cho-full-noi-that-gac-cao-rong-30m2-sat-cau-chu-y-pr42482216,"Cho thuê phòng full nội thất, gác cao rộng 30m2 sát cầu Chữ Y",5.7,30.0,"
                Âu Dương Lân - Quận 8.Sát cầu Chữ Y, thuận tiện di chuyển qua các quận trung tâm.- Full nội thất như hình.- Rộng 30m², gác cao, ở được 3 - 4 người.- Tòa nhà thang máy.- Giờ giấc tự do, không chung chủ.
            ","Đường Âu Dương Lân, Phường 3, Quận 8, Hồ Chí Minh",Hồ Chí Minh,8,3,Đường Âu Dương Lân,
p1-l7_20250320-000536,batdongsan,https://batdongsan.com.vn/cho-thue-nha-tro-phong-tro-duong-nguyen-thi-dinh-phuong-binh-trung-tay/cho-studio-cua-so-ban-cong-thoang-mat-moi-100-quan-2-pr42482098,"Cho thuê phòng studio cửa sổ, ban công thoáng mát nhà mới 100% - Nguyễn Thị Định, Quận 2",4.0,30.0,"
                Nội thất cơ bản: Máy lạnh, kệ bếp, nước nóng,..DT 30m².Tiện ích chung:- Giờ giấc tự do.- Không chung chủ.- Nhà xe rộng, có thang máy.- Khu giặt phơi chung.- Ra vào khoá vân tay.Giá 4tr/th.Có đầy đủ các dạng phòng:- Studio cửa sổ hành lang.- Studio ban công.- Duplex cửa sổ trời.LH xem phòng ngay: 0947 398 *** (Thái Bảo) hỗ trợ tư vấn & tìm phòng khu vực Q2.
            ","Đường Nguyễn Thị Định, Phường Bình Trưng Tây, Quận 2, Hồ Chí Minh",Hồ Chí Minh,Thủ Đức,Bình Trưng Tây,Đường Nguyễn Thị Định,
p1-l8_20250320-000536,batdongsan,https://batdongsan.com.vn/cho-thue-nha-tro-phong-tro-duong-dang-thuy-tram-phuong-13-7/trong-duplex-ngay-cong-sau-van-lang-cua-so-troi-rong-cho-4-5-nguoi-o-gan-cau-do-hang-xanh-pr42320316,"
                    Trống phòng duplex ngay cổng sau Văn Lang, cửa sổ trời rộng cho 4-5 người ở, gần Cầu Đỏ, Hàng xanh
                ",4.5,30.0,"
                    Địa chỉ: Đặng Thuỳ Trâm, P13, Bình Thạnh.Vị trí:- Ngay Phạm Văn Đồng, Xô Viết Nghệ Tĩnh.- Gần Đại Học Văn Lang, UEF, Hutech, GTVT, Ngoại Thương.- Gần Phan Văn Trị, Cầu Đỏ, Nguyễn Xí, D1, D2, D5, Võ Oanh.- DT 30m² giá 4.5tr/tháng.- Thuận tiện di chuyển Quận 2, Thủ Đức, Quận 1, Phú Nhuận, Gò Vấp.Khu vực gần chợ, siêu thị chuyển đổi tiện lợi.Tổng quan:- Căn hộ đầy đủ nội thất mới.- Camera an ninh 24/7.- Khoá vân tay.- Không chung chủ.- Giờ giấc tự do."" Nhận tìm phòng / căn hộ theo nhu cầu của khách hàng, hỗ trợ tìm phòng theo yêu cầu của khách hàng về đặc sản căn hộ và vị trí đường mà khách hàng mong muốn.Trợ giúp tìm kiếm phòng (miễn phí).Liên hệ ngay sđt: 0368 587 ***.
                ","Đường Đặng Thùy Trâm, Phường 13, Bình Thạnh, Hồ Chí Minh",Hồ Chí Minh,Bình Thạnh,13,Đường Đặng Thùy Trâm,
p1-l9_20250320-000536,batdongsan,https://batdongsan.com.vn/cho-thue-nha-tro-phong-tro-duong-le-van-luong-phuong-tan-phong-9/cho-o-tret-co-gac-ke-ben-tdt-khong-ngap-sieu-gan-lottemart-tien-di-quan-4-quan-1-pr42479365,"
                    Cho thuê phòng trọ ở trệt có gác, kế bên TDT, không ngập. Siêu gần LotteMart, tiện đi Quận 4 Quận 1
                ",3.3,25.0,"
                    Mặt tiền Lê Văn Lương, phường Tân Phong. Q7.- DT 25m².- Giờ tự do cổng vân tay.- Cho nuôi thú cưng nhỏ.- Có nhà xe, wifi, khu giặt phơi.- Cách cổng 1 trường TDT chỉ 100m.- Di chuyển 4p sang LotteMart.- Tiện đi cầu Kênh Tẻ, Quận 4, Quận 1.Phù hợp sinh viên, dãy trọ sinh viên TDT ở nhiều.Liên hệ Bảo: 0528 626 *** (Zal0/Call) hỗ trợ tìm phòng đúng nhu cầu miễn phí trung gian khu vực Quận 7, Nhà Bè, Quận 4, Bình Chánh..
                ","Đường Lê Văn Lương, Phường Tân Phong, Quận 7, Hồ Chí Minh",Hồ Chí Minh,7,Tân Phong,Đường Lê Văn Lương,
