id,text
p1-l19_20250320-000509,"{""id"": ""p1-l19_20250320-000509"", ""address"": ""180/28/29, Đường Nguyễn Hữu Cảnh, Phường 22, Bình Thạnh, Hồ Chí Minh"", ""area"": 60.0, ""price"": 5.4, ""describe"": ""\n                Nhà trọ cho thuê tại 180/28/29 Nguyễn Hữu Cảnh, Phường 22, Bình Thạnh, Hồ Chí Minh, với diện tích rộng 60m².Liên hệ ngay để được tư vấn miễn phí và xem nhà: Anna - 0989 785 ***.- Giá thuê chỉ 5,4 triệu VND mỗi tháng, một mức giá hợp lý cho không gian sống thoải mái.- Nhà có 1PN và 1WC, rất phù hợp cho cá nhân hoặc cặp đôi.- Nội thất đầy đủ với điều hòa, giường, tủ lạnh, mang lại sự tiện nghi cho cuộc sống hàng ngày.- Nằm trong khu vực yên tĩnh, thuận tiện cho sinh hoạt và nghỉ ngơi.Địa điểm tiện ích xung quanh:- Gần bệnh viện thẩm mỹ Thanh Vân, bệnh viện đa khoa quốc tế Vinmec Central Park, bệnh viện Bình Thạnh cơ sở 2.- Siêu thị mẹ bầu và em bé Con Cưng - concung.com, siêu thị điện máy Tự Do rất gần.- Hệ thống giáo dục với mầm non Hooray, trường phổ thông song ngữ quốc tế Wellspring Saigon và nhiều lớp học nghệ thuật khác.- Công viên cảng Ba Son, công viên Vinhomes Tân Cảng và công viên Vinhomes Central Park là những nơi lý tưởng để thư giãn.Liên hệ ngay để được tư vấn miễn phí và xem nhà: Anna - 0989 785 ***.\n            ""}"
p1-l1_20250320-000536,"{""id"": ""p1-l1_20250320-000536"", ""address"": ""Đường Phạm Phú Thứ, Phường 11, Tân Bình, Hồ Chí Minh"", ""area"": 20.0, ""price"": 4.0, ""describe"": ""\n                Thông báo dự án mới.Phạm Phú Thứ, Phường 11, Quận Tân Bình.Chỉ với 4tr có ngay 1PN mới.1PN full NT mới cửa sổ.Free xe, không chung chủ.Khu vực giáp quận 10 thuận tiện di chuyển.Contact em hỗ trợ 24/7: 0964 721 *** (zalo).\n            ""}"
p1-l2_20250320-000536,"{""id"": ""p1-l2_20250320-000536"", ""address"": ""331, Đường Phan Huy Ích, Phường 12, Gò Vấp, Hồ Chí Minh"", ""area"": 35.0, ""price"": 3.8, ""describe"": ""\n                Cho thuê phòng chưa dụng ngay Emart.- Công khai: 3tr8/tháng.Nội thất chưa qua sử dụng gồm: Máy lạnh, tủ quần áo, giường nệm, kệ bếp...Địa chỉ: 331 Phan Huy Ích, Phường 12, Gò Vấp.- Tiện di chuyển: Trường Chinh, Emart Phan Huy Ích, Công viên Phần Mềm Quang Trung, Phạm Văn Bạch, Huỳnh Văn Nghệ, Nguyễn Tư Giản, Nguyễn Sỹ Sách, Cống Lỡ, Trần Thị Trọng, Lê Văn Thọ, Phạm Văn Chiêu, Lê Đức Thọ, Phan Huy Ích, Nguyễn Văn Khối,- Ngay Emart Phan Huy Ích.- Giờ giấc tự do.- Ra vào vân tay.- Không chung chủ.Liên hệ sdt/zalo: 0353 333 ***.\n            ""}"
p1-l3_20250320-000536,"{""id"": ""p1-l3_20250320-000536"", ""address"": ""Đường Tô Ký, Phường Tân Chánh Hiệp, Quận 12, Hồ Chí Minh"", ""area"": 35.0, ""price"": 3.5, ""describe"": ""\n                Phòng cửa sổ trời có sẳn máy lạnh.- Diện tích 35m2- Công khai: 3tr5/tháng.Nội thất có sẳn máy lạnh, kệ bếp.Vị trí sau Công Viện Phần Mềm Quang Trung.+ Đi bộ qua Cao Đẳng FPT, Cao Đẳng Viễn Đông.- Tiện di chuyển qua Công Viên Phần Mềm, Quang Trung, Đại học Bách Khoa TP. HCM, Đại học Khoa học Tự nhiên TP. HCM, Đại học FPT, Cao đẳng FPT Polytechnic, Đại học Công nghệ Thông tin, Cao đẳng Viễn Đông, Đại Học Giao thông Vận Tải, Đại Học Lao Động Xã Hội, Đường Quang Trung, Đường Phan Văn Hớn, Đường Lê Thị Riêng, Đường Nguyễn Văn Quá, Đường Tô Ký, Đường Cầu Vượt Ngã 3 An Sương, Nguyễn Ảnh Thủ,...Giờ giấc tự do.Ra vào vân tay.Không chung chủ.Đường ô tô.Liên hệ SDT/zalo: 0353 333 ***.\n            ""}"
p1-l4_20250320-000536,"{""id"": ""p1-l4_20250320-000536"", ""address"": ""Đường Cách Mạng Tháng Tám, Phường 11, Quận 3, Hồ Chí Minh"", ""area"": 25.0, ""price"": 4.2, ""describe"": ""\n                Hi mọi người ơi, nhà mình (chính chủ) còn 1 phòng cuối trên lầu 4 siêu thoáng mát đang tìm bạn đến ở đây.Phòng rộng rãi, được giữ gìn tốt, có bếp nhỏ để nấu ăn và nhà vệ sinh riêng trong phòng.Ngoài cửa còn có ban công nhỏ để phơi đồ, hoặc bạn có thể lên trên sân thượng ngay lầu trên để phơi cho nhanh khô hen.Điện: 4k/kg.Tiền phòng đã đăng đã bao gồm tất cả mọi chi phí, bao gồm WIFI, nước, rác, gửi xe,... Trừ tiền điện ra nghen.Tiền điện là mng xài bao nhiêu thì tính bấy nhiêu nhé.Nhà mình hẻm ô tô, có khóa vân tay nằm ngay khu vực trung tâm TP, thuận tiện di chuyển đi Q1, Q. Phú Nhuận, Q. 10, Q. Tân Bình,...Gần nhà có cửa hàng tiện lợi, siêu thị, nhà sách cùng các quán ăn ngon.Một vài câu trả lời giúp giải đáp thắc mắc của các bạn:1. Nhà mình chung chủ, nghĩa là bạn thuê phòng trọ và mình cũng đang lưu trú tại đây.2. Phòng nhà mình không nhận nuôi chó, mèo, các bé có lông và không được đóng đinh lên tường để dựng giá đỡ đựng đồ để bảo quản tình trạng phòng.3. Nếu thuê cần cọc trước 1 tháng tiền thuê.4. Giờ sinh hoạt: 5: 00 - 23: 00.5. Trọ chỉ cho nữ thuê, các bạn nữ vui lòng liên hệ trước nếu các bạn qua coi phòng nhé. Mình không nhận tin nhắn của các anh, các chú,... Nhắn là nhờ coi giúp em gái, bạn gái,... Nhé ạ. Bạn nào thuê thì bạn đó qua coi mọi người nhé.6. Mình chỉ nhận ký hợp đồng 1 năm ạ.7. Phòng này do nằm trên tầng 4, rất mát nên mình chưa lắp máy lạnh. Nếu bạn có nhu cầu lắp thì mình xin phép + 200K vào tiền phòng để lắp máy lạnh mới hiệu Casper.\n            ""}"
p1-l5_20250320-000536,"{""id"": ""p1-l5_20250320-000536"", ""address"": ""Đường  Nguyễn Thiện Thuật, Phường 3, Quận 3, Hồ Chí Minh"", ""area"": 25.0, ""price"": 5.2, ""describe"": ""\n                Căn phòng tràn ngập ánh sáng ngay trung tâm Q3.Vị trí: Nguyễn Thiện Thuật quận 3 gần đại học Sư Phạm, ĐH Sài Gòn, UEH.- Sát chợ Bàn Cờ, ngã sáu Cộng Hoà di chuyển dễ dàng các quận 1, quận 10, Phú Nhuận.Diện tích 25m² giá 5.2 triệu/tháng- Full nội thất như ảnh mới toanh.- Ra vào vân tay an ninh camera 24/24.- Cửa sổ thoáng.- Cọc 1 tháng.Liên hệ em ngay để được hỗ trợ xem phòng và tư vấn nhiệt tình.\n            ""}"
p1-l6_20250320-000536,"{""id"": ""p1-l6_20250320-000536"", ""address"": ""Đường Âu Dương Lân, Phường 3, Quận 8, Hồ Chí Minh"", ""area"": 30.0, ""price"": 5.7, ""describe"": ""\n                Âu Dương Lân - Quận 8.Sát cầu Chữ Y, thuận tiện di chuyển qua các quận trung tâm.- Full nội thất như hình.- Rộng 30m², gác cao, ở được 3 - 4 người.- Tòa nhà thang máy.- Giờ giấc tự do, không chung chủ.\n            ""}"
p1-l7_20250320-000536,"{""id"": ""p1-l7_20250320-000536"", ""address"": ""Đường Nguyễn Thị Định, Phường Bình Trưng Tây, Quận 2, Hồ Chí Minh"", ""area"": 30.0, ""price"": 4.0, ""describe"": ""\n                Nội thất cơ bản: Máy lạnh, kệ bếp, nước nóng,..DT 30m².Tiện ích chung:- Giờ giấc tự do.- Không chung chủ.- Nhà xe rộng, có thang máy.- Khu giặt phơi chung.- Ra vào khoá vân tay.Giá 4tr/th.Có đầy đủ các dạng phòng:- Studio cửa sổ hành lang.- Studio ban công.- Duplex cửa sổ trời.LH xem phòng ngay: 0947 398 *** (Thái Bảo) hỗ trợ tư vấn & tìm phòng khu vực Q2.\n            ""}"
p1-l8_20250320-000536,"{""id"": ""p1-l8_20250320-000536"", ""address"": ""Đường Đặng Thùy Trâm, Phường 13, Bình Thạnh, Hồ Chí Minh"", ""area"": 30.0, ""price"": 4.5, ""describe"": ""\n                    Địa chỉ: Đặng Thuỳ Trâm, P13, Bình Thạnh.Vị trí:- Ngay Phạm Văn Đồng, Xô Viết Nghệ Tĩnh.- Gần Đại Học Văn Lang, UEF, Hutech, GTVT, Ngoại Thương.- Gần Phan Văn Trị, Cầu Đỏ, Nguyễn Xí, D1, D2, D5, Võ Oanh.- DT 30m² giá 4.5tr/tháng.- Thuận tiện di chuyển Quận 2, Thủ Đức, Quận 1, Phú Nhuận, Gò Vấp.Khu vực gần chợ, siêu thị chuyển đổi tiện lợi.Tổng quan:- Căn hộ đầy đủ nội thất mới.- Camera an ninh 24/7.- Khoá vân tay.- Không chung chủ.- Giờ giấc tự do.\"" Nhận tìm phòng / căn hộ theo nhu cầu của khách hàng, hỗ trợ tìm phòng theo yêu cầu của khách hàng về đặc sản căn hộ và vị trí đường mà khách hàng mong muốn.Trợ giúp tìm kiếm phòng (miễn phí).Liên hệ ngay sđt: 0368 587 ***.\n                ""}"
p1-l9_20250320-000536,"{""id"": ""p1-l9_20250320-000536"", ""address"": ""Đường Lê Văn Lương, Phường Tân Phong, Quận 7, Hồ Chí Minh"", ""area"": 25.0, ""price"": 3.3, ""describe"": ""\n                    Mặt tiền Lê Văn Lương, phường Tân Phong. Q7.- DT 25m².- Giờ tự do cổng vân tay.- Cho nuôi thú cưng nhỏ.- Có nhà xe, wifi, khu giặt phơi.- Cách cổng 1 trường TDT chỉ 100m.- Di chuyển 4p sang LotteMart.- Tiện đi cầu Kênh Tẻ, Quận 4, Quận 1.Phù hợp sinh viên, dãy trọ sinh viên TDT ở nhiều.Liên hệ Bảo: 0528 626 *** (Zal0/Call) hỗ trợ tìm phòng đúng nhu cầu miễn phí trung gian khu vực Quận 7, Nhà Bè, Quận 4, Bình Chánh..\n                ""}"
p2-l0_20250320-000536,"{""id"": ""p2-l0_20250320-000536"", ""address"": ""Đường Võ Văn Hát, Phường Long Trường, Quận 9, Hồ Chí Minh"", ""area"": 30.0, ""price"": 3.5, ""describe"": ""\n                Cho thuê phòng trọ gác cao ban công mới ở khu CNC gần Lã Xuân Oai trường FPT UFM Hutech Vinhomes.DT 30m², giá 3.5 tr/th.An ninh - giờ giấc tự do - không chung chủ - mới xây.- Vị trí thuận tiện di chuyển ra các trục đường lớn Lê Văn Việt, Xa Lộ Hà Nội, Lã Xuân Oai, Võ Văn Hát, D2, Võ Chí Công,...- Xung quanh đầy đủ tiện ích bách hóa xanh, nhà thuốc, quán ăn, gần Vinhomes Q9, Khu Cnc.- Gần các trường fpt, hutech, ufm, nguyễn tất thành, gtvt.- Gần công ty samsung, fpt, tti, nipro, vietjet,...- Tiện di chuyển sang các quận 2, 4, 7, Thủ Đức,...- Tòa nhà ra vào vân tay, trang bị đầy đủ camera an ninh, wifi, máy giặt chung, thang máy, nhà xe rộng, có quản lý, công viên.- Ở được đông bạn.- Phòng trang bị nội thất cơ bản: Máy lạnh, tủ quần áo, nước nóng lạnh, kệ bếp (thêm tủ lạnh + 200k).Đc: Võ Văn Hát, Long Trường, Quận 9.Liên hệ xem phòng trực tiếp 0949 364 *** Gia Thụy.\n            ""}"
p2-l10_20250320-000536,"{""id"": ""p2-l10_20250320-000536"", ""address"": ""Đường Số 8, Phường Tăng Nhơn Phú B, Quận 9, Hồ Chí Minh"", ""area"": 35.0, ""price"": 3.5, ""describe"": ""\n                    Cho thuê phòng trọ gác cao siêu rộng gần ngã tư Thủ Đức Đỗ Xuân Hợp trường SPKT Hutech Công Thương.DT 35m² giá 3.5tr/th.Giờ giấc tự do - không chung chủ - nằm trong khu dân cư an ninh - Giữ phòng qua Tết.- Vị trí thuận tiện di chuyển sang các trục đường Đỗ Xuân Hợp, Dương Đình Hội, Lê Văn Việt, Xa Lộ Hà Nội, Đình Phong Phú, Tăng Nhơn Phú,...- Thuận tiện di chuyển sang các Quận 2, Bình Thạnh, Thủ Đức,... Gần Ngã tư Bình Thái, ngã tư Thủ Đức, Vincom, Coopmart,....- Gần các trường Công Thương, Kinh Tế Đối Ngoại, SPKT, Hutech, Kỹ Nghệ, HUB, FPT, UFM, Văn Hóa,...Tiện ích xung quanh đầy đủ: Chợ, bách hóa xanh, tạp hóa, quán ăn, gym, spa,...Tiện ích tòa nhà: Giặt chung, wifi, nhà xe, camera an ninh, cổng vân tay, vệ sinh chung hàng tuần,...- Phòng dạng gác (cao 2m), trang bị sẵn máy lạnh, kệ bếp.Xem phòng trực tiếp liên hệ 0913 065 *** Gia Thụy.\n                ""}"
p2-l11_20250320-000536,"{""id"": ""p2-l11_20250320-000536"", ""address"": ""616, Đường Lê Đức Thọ, Phường 15, Gò Vấp, Hồ Chí Minh"", ""area"": 38.0, ""price"": 4.3, ""describe"": ""\n                Trống phòng có gác cửa sổ trời full nội thất.- Công khai: 4tr3/tháng.Nội thất gồm: Máy lạnh, tủ lạnh, tủ quần áo, nệm, kệ bếp...Địa chỉ: 616 Lê Đức Thọ, Phường 15, Gò Vấp.+ Tiện di chuyễn qua: Các trường Đại Học IUH, VLU 5 - 10phút Lê Đức Thọ, Lotte Nguyễn Văn Lượng, Phan Văn Trị, Nguyễn Văn Lượng, Thống Nhất, Nguyễn Oanh, Lê Đức Thọ...Giờ giấc tự do.Ra vào vân tay.Không chung chủ.Đường ô tô.Liên hệ sdt/zalo: 0353 333 ***.\n            ""}"
p2-l12_20250320-000536,"{""id"": ""p2-l12_20250320-000536"", ""address"": ""Đường Lê Đức Thọ, Phường 16, Gò Vấp, Hồ Chí Minh"", ""area"": 35.0, ""price"": 4.2, ""describe"": ""\n                Giờ giấc tự do ra vào vân tay.Không chung chủ nhà xe (free).Tiện ích toà nhà: Camera an ninh, thang thoát hiểm, hệ thống PCCC. 4.2 tr/th.Tiện di chuyển Sân bay TSN, Công viên Gia Định, Bình Thạnh, Phú Nhuận, Nguyễn Thái Sơn, Phạm Văn Đồng, Phan Văn Trị, Lê Đức Thọ, Nguyễn Oanh, Nguyễn Văn Lượng, Thống Nhất, Dương Quãng Hàm,\n            ""}"
p2-l13_20250320-000536,"{""id"": ""p2-l13_20250320-000536"", ""address"": ""965, Đường Quang Trung, Phường 14, Gò Vấp, Hồ Chí Minh"", ""area"": 40.0, ""price"": 5.5, ""describe"": ""\n                Phòng ban công chưa qua sử dụng.- Công khai: 5tr5/tháng.Nội thất gồm: Máy lạnh, tủ lạnh, giường, tủ quần áo, kệ bếp...Địa chỉ: 965 Quang Trung, Phường 14, Quận Gò Vấp.+ Tiện di chuyển Cao Đẳng Y Dược Hồng Đức, Công Viên Phần Mềm Quang Trung, Lê Văn Thọ, Phạm Văn Chiêu, Lê Đức Thọ, Phan Huy Ích, Nguyễn Văn Khối,Giờ giấc tự do.Ra vào vân tay.Không chung chủ.Liên hệ sdt/zalo: 0353 333 ***.\n            ""}"
p2-l14_20250320-000536,"{""id"": ""p2-l14_20250320-000536"", ""address"": ""Đường Phan Huy Ích, Phường 15, Tân Bình, Hồ Chí Minh"", ""area"": 40.0, ""price"": 4.6, ""describe"": ""\n                Trống phòng cửa sổ trời full nội thất.DT 40m².- Công khai: 4tr6/tháng.Nội thất gồm: Máy lạnh, tủ lạnh, tủ quần áo, giường nệm, kệ bếp...Địa chỉ: 160 Phan Huy Ích, Phường 15, Tân Bình.- Tiện di chuyển: Trường Chinh, Emart Phan Huy Ích, Công viên Phần Mềm Quang Trung, Phạm Văn Bạch, Huỳnh Văn Nghệ, Nguyễn Tư Giản, Nguyễn Sỹ Sách, Cống Lỡ, Trần Thị Trọng, Lê Văn Thọ, Phạm Văn Chiêu, Lê Đức Thọ, Phan Huy Ích, Nguyễn Văn Khối,- Giờ giấc tự do.- Ra vào vân tay.- Không chung chủ.- Đường ô tô.Liên hệ sdt/zalo: 0353 333 ***.\n            ""}"
p2-l15_20250320-000536,"{""id"": ""p2-l15_20250320-000536"", ""address"": ""Đường Đặng Văn Sâm, Phường 2, Tân Bình, Hồ Chí Minh"", ""area"": 20.0, ""price"": 3.5, ""describe"": ""\n                Duplex khu sân bay, siêu rộng 20m² có sẵn máy lạnh, kệ bếp mà giá chỉ 3 tr 5 thui.Địa chỉ: Bạch Đằng - Đặng Văn Sâm, Tân Bình.Giờ giấc tự do, không chung chủ.Ra vào vân tay, hầm xe siêu rộng.Phòng có sẵn máy lạnh, kệ bếp, rộng rãi, ở 3 - 4 bạn vẫn thoải mái.Có giá ưu đãi trong tháng 3!Liên hệ Vinh: 0933 498 ***.\n            ""}"
